step,"Flow: (0.04) S -> I, 
inducing by: I, ","Flow: (0.01) I -> R, 
 not inducing"
501,"0,003933279612283496","0,04263969450345103"
502,"0,003890993214404378","0,042252630354539356"
503,"0,0038492144881233925","0,041869013983138005"
504,"0,003807936379547173","0,04148881598818785"
505,"0,0037671519494216145","0,04111200719210145"
506,"0,003726854370991154","0,040738558639674655"
507,"0,003687036927902694","0,040368441596987825"
508,"0,00364769301215314","0,04000162755029697"
509,"0,003608816122079575","0,03963808820491554"
510,"0,0035703998603910892","0,03927779548408718"
511,"0,003532437932241346","0,03892072152785021"
512,"0,0034949241433409367","0,038566838691894124"
513,"0,00345785239810866","0,03821611954640859"
514,"0,003421216697860817","0,03786853687492559"
515,"0,003385011139037688","0,037524063673154945"
516,"0,0033492299114663603","0,037182673147813775"
517,"0,003313867296659078","0,0368443387154503"
518,"0,0032789176661463283","0,03650903400126239"
519,"0,0032443754798438945","0,03617673283791123"
520,"0,0032102352844531035","0,035847409264330554"
521,"0,0031764917118935537","0,035521037524531784"
522,"0,0031431394777675743","0,0351975920664054"
523,"0,0031101733798557392","0,03487704754051903"
524,"0,003077588296642726","0,034559378798912396"
525,"0,0030453791858728665","0,0342445608938897"
526,"0,003013541083134727","0,03393256907680953"
527,"0,002982069100474077","0,03362337879687278"
528,"0,00295095842503463","0,03331696569990879"
529,"0,002920204317725942","0,03301330562716005"
530,"0,002889802111917872","0,03271237461406571"
531,"0,0028597472121610285","0,03241414888904423"
532,"0,002830035092932632","0,0321186048722754"
533,"0,0028006612974072376","0,031825719174481966"
534,"0,002771621436251786","0,03153546859571122"
535,"0,002742911186444443","0,031247830124116624"
536,"0,002714526290116719","0,030962780934739902"
537,"0,0026864625534183634","0,030680298388293673"
538,"0,0026587158454045457","0,03040036002994492"
539,"0,002631282096944833","0,03012294358809952"
540,"0,0026041572996535036","0,02984802697318797"
541,"0,0025773375048407376","0,029575588276452628"
542,"0,0025508188224842355","0,029305605768736503"
543,"0,002524597420220818","0,029038057899273984"
544,"0,002498669522357604","0,028772923294483447"
545,"0,0024730314089023145","0,02851018075676219"
546,"0,0024476794146123344","0,02824980926328359"
547,"0,0024226099280620977","0,027991787964796875"
548,"0,00239781939072843","0,027736096184429525"
549,"0,0023733042960934593","0,02748271341649251"
550,"0,0023490611887647243","0,02723161932528852"
551,"0,0023250866636121167","0,026982793743923286"
552,"0,002301377364921306","0,026736216673120174"
553,"0,0022779299855632974","0,02649186828003819"
554,"0,0022547412661797755","0,026249728897093438"
555,"0,002231807994383927","0,0260097790207843"
556,"0,0022091270039763873","0,025771999310520294"
557,"0,002186695174176024","0,025536370587454855"
558,"0,00216450942886522","0,025302873833322068"
559,"0,0021425667358493813","0,025071490189277502"
560,"0,002120864106130353","0,02484220095474322"
561,"0,002099398593193468","0,024614987586257093"
562,"0,0020781672923079345","0,024389831696326456"
563,"0,0020571673398403043","0,024166715052286274"
564,"0,002036395912580727","0,023945619575161815"
565,"0,002015850227081751","0,023726527338536006"
566,"0,0019955275390093957","0,023509420567421464"
567,"0,001975425142506257","0,023294281637137343"
568,"0,001955540369566383","0,02308109307219103"
569,"0,0019358705894216973","0,022869837545164785"
570,"0,00191641320793972","0,022660497875607356"
571,"0,001897165667032361","0,02245305702893068"
572,"0,0018781254440755635","0,0222474981153117"
573,"0,0018592900513395726","0,022043804388599337"
574,"0,001840657035429615","0,02184195924522674"
575,"0,0018222239767367804","0,02164194622312877"
576,"0,0018039884888988928","0,021443749000664848"
577,"0,0017859482182711825","0,021247351395547193"
578,"0,0017681008434065472","0,021052737363774436"
579,"0,0017504440745452151","0,020859890998570756"
580,"0,0017329756531136301","0,0206687965293305"
581,"0,0017156933512323558","0,020479438320568328"
582,"0,001698594971232835","0,02029180087087497"
583,"0,001681678345182821","0,020105868811878553"
584,"0,0016649413344203038","0,019921626907211595"
585,"0,0016483818290957736","0,01973906005148368"
586,"0,001631997747722643","0,0195581532692598"
587,"0,0016157870367356753","0,01937889171404443"
588,"0,0015997476700572572","0,019201260667271344"
589,"0,001583877648671361","0,0190252455372992"
590,"0,0015681750002050452","0,018850831858412926"
591,"0,0015526377785173443","0,018678005289830848"
592,"0,0015372640632954054","0,018506751614717713"
593,"0,0015220519596577246","0,018337056739203487"
594,"0,0015069995977643486","0,01816890669140803"
595,"0,0014921051324339027","0,018002287620471593"
596,"0,0014773667427673163","0,017837185795591216"
597,"0,001462782631778105","0,017673587605062976"
598,"0,0014483510260290993","0,01751147955533013"
599,"0,0014340701752754755","0,01735084827003712"
600,"0,001419938352113982","0,017191680489089502"
601,"0,0014059538516382306","0,01703396306771975"
602,"0,001392114991099944","0,016877682975558934"
603,"0,001378420109576039","0,016722827295714345"
604,"0,0013648675676414355","0,016569383223852964"
605,"0,0013514557470474804","0,016417338067290847"
606,"0,0013381830504058808","0,016266679244088415"
607,"0,0013250479008780395","0,016117394282151587"
608,"0,0013120487418696875","0,01596947081833885"
609,"0,0012991840367307184","0,01582289659757416"
610,"0,0012864522684601204","0,015677659471965723"
611,"0,0012738519394159108","0,015533747399930669"
612,"0,0012613815710299779","0,015391148445325522"
613,"0,001249039703527739","0,015249850776582568"
614,"0,001236824895652522","0,015109842665852018"
615,"0,0012247357243945814","0,014971112488150022"
616,"0,0012127707847246613","0,014833648720512469"
617,"0,0012009286893320211","0,014697439941154591"
618,"0,0011892080683668404","0,014562474828636365"
619,"0,0011776075691869187","0,01442874216103367"
620,"0,001166125856108593","0,014296230815115203"
621,"0,0011547616101617896","0,014164929765525138"
622,"0,0011435135288491423","0,014034828083971504"
623,"0,0011323803259090878","0,01390591493842028"
624,"0,001121360731082879","0,013778179592295171"
