step,S,E,I,R
274,"62,321991302864646","19,306230227453973","13,410478214397681","5,961300255283632"
275,"61,990994191322095","19,444165036721987","13,536488125600233","6,0283526463556205"
276,"61,65866137676171","19,582056200915158","13,66324733533945","6,096035086983622"
277,"61,325014825966996","19,719882189700712","13,790751660671905","6,164351323660319"
278,"60,99007698436227","19,857621209408432","13,918996724265552","6,233305081963678"
279,"60,65387077376502","19,99525120791159","14,047977952738309","6,302900065585006"
280,"60,316419589852906","20,13274987974459","14,177690575053735","6,373139955348697"
281,"59,977747299342","20,270094671458054","14,308129620975912","6,444028408223966"
282,"59,63787823687343","20,40726278721204","14,439289919585613","6,515569056328846"
283,"59,29683720160565","20,544231194607708","14,571166097859805","6,5877655059267735"
284,"58,95464945350967","20,680976630757613","14,703752579316584","6,660621336416073"
285,"58,611340709365216","20,817475608594492","14,837043582727576","6,734140099312656"
286,"58,26693713845553","20,95370442341823","14,971033120899884","6,808325317226294"
287,"57,921465357959214","21,08963915968037","15,105714999529566","6,883180482830793"
288,"57,57495242803745","21,22525569800533","15,24108281612872","6,958709057828441"
289,"57,22742584661551","21,360529722447215","15,37712995902813","7,034914471909085"
290,"56,87891354385747","21,495436727980785","15,51384960645746","7,111800121704225"
291,"56,529443876333474","21,629952028224977","15,651234725704981","7,189369369736513"
292,"56,179045620879194","21,76405076339701","15,789278072358707","7,267625543365037"
293,"55,8277479681474","21,897707908494837","15,927972189630886","7,346571933726831"
294,"55,4755805158518","22,030898281705483","16,067309407767677","7,426211794674986"
295,"55,12257326170379","22,163596553036434","16,207281843545893","7,506548341713824"
296,"54,76875659604283","22,29577725316704","16,347881399858526","7,587584750931553"
297,"54,41416129416171","22,427414782516486","16,489099765390904","7,669324157930846"
298,"54,058818508328244","22,558483420524787","16,630928414389114","7,7517696567578005"
299,"53,70275975950509","22,688957335142693","16,773358606522415","7,834924298829746"
300,"53,346016928770005","22,818810592526354","16,91638138684123","7,918791091862358"
301,"52,98862224843893","22,948017166932164","17,059987585832285","8,003372998796564"
302,"52,63060829289488","23,07655095080689","17,204167819572447","8,088672936725725"
303,"52,27200796912571","23,20438576506799","17,348912489982652","8,174693775823588"
304,"51,912854506974405","23,33149536956861","17,49421178518342","8,261438338273502"
305,"51,55318144910572","23,457853473741608","17,64005567995319","8,348909397199419"
306,"51,193022640693464","23,58343374741645","17,78643393629084","8,437109675599185"
307,"50,83241221883297","23,708209831802776","17,93333610408355","8,52604184528064"
308,"50,4713846016838","23,83215535063392","18,08075152188116","8,615708525801058"
309,"50,109974477347826","23,95524392146356","18,228669317778095","8,706112283410464"
310,"49,74821679248847","24,07744916710828","18,37707841040384","8,797255629999354"
311,"49,38614674069705","24,198744727228615","18,5259675100229","8,889141022051373"
312,"49,02379975061255","24,319104270040835","18,675325119745075","8,981770859601488"
313,"48,66121147380147","24,438501504151503","18,82513953684676","9,075147485200214"
314,"48,29841777240491","24,55691019050655","18,97539885420404","9,169273182884448"
315,"47,935454706560016","24,67430415444638","19,126090961838088","9,264150177155468"
316,"47,57235852160368","24,790657297858246","19,27720354857336","9,359780631964659"
317,"47,20916563506639","24,905943611416955","19,428724103809078","9,456166649707527"
318,"46,84591262346452","25,02013718690466","19,580639919404202","9,553310270226572"
319,"46,4826362088998","25,13321222960034","19,73293809167623","9,651213469823592"
320,"46,1193732454748","25,245143070729338","19,88560552351385","9,749878160281973"
321,"45,75616070553372","25,35590417996312","20,03862892660357","9,849306187899543"
322,"45,39303566573799","25,465470177959222","20,191994823770184","9,949499332532561"
323,"45,03003529298639","25,573815848931233","20,345689551430926","10,050459306651412"
324,"44,66719683018992","25,68091615323839","20,499699262163084","10,152187754408567"
325,"44,30455758191161","25,786746239984318","20,654009927384653","10,254686250719383"
326,"43,942154899881835","25,89128145961425","20,808607340147574","10,357956300356307"
327,"43,58002616840002","25,994497376499922","20,96347711804298","10,461999337057044"
328,"43,21820878963369","26,09636978150125","21,118604706217763","10,566816722647259"
329,"42,85674016882614","26,196874704493787","21,273975380501685","10,672409746178348"
330,"42,4956576994241","26,295988426850894","21,429574250644116","10,778779623080856"
331,"42,134998748137065","26,39368749386942","21,5853862636594","10,885927494334076"
332,"41,774800639940096","26,489948727127697","21,7413962072798","10,993854425652373"
333,"41,415100643031955","26,584749236764566","21,897588713514676","11,102561406688771"
334,"41,055935953760695","26,67806643366818","22,053948262314748","11,212049350256345"
335,"40,697343681528956","26,769878041563242","22,210459185339857","11,32231909156792"
336,"40,339360833691195","26,86016210898537","22,36710566982879","11,433371387494619"
337,"39,98202430045534","26,94889702113137","22,5238717625695","11,545206915843762"
338,"39,62537083980133","27,036061511574072","22,680741373967965","11,65782627465661"
339,"39,269437062429006","27,12163467383065","22,837698282213868","11,77122998152645"
340,"38,91425941674816","27,20559597277319","22,994726137541104","11,885418472937518"
341,"38,55987417392307","27,287925255870547","23,151808466581134","12,000392103625224"
342,"38,206317412984404","27,368602764250507","23,308928676806936","12,11615114595813"
343,"37,853625006020955","27,447609143571448","23,466070061065405","12,232695789342165"
344,"37,50183260346389","27,524925454692795","23,623215802195794","12,350026139647492"
345,"37,150975619475986","27,600533184133766","23,780348977731744","12,468142218658471"
346,"36,801089217458426","27,67441425430999","23,93745256468442","12,58704396354713"
347,"36,452208295687484","27,74655103353783","24,0945094444041","12,706731226370552"
348,"36,10436747309349","27,816926345796443","24,251502407517457","12,827203773592572"
349,"35,75760107519423","27,885523480237733","24,408414158937834","12,94846128563016"
350,"35,411943120194856","27,95232620043473","24,565227322945525","13,07050335642485"
351,"35,06742730526622","28,017318753359017","24,721924448335145","13,193329493039577"
352,"34,72408699301344","28,080485878078207","24,87848801362706","13,316939115281253"
353,"34,38195519814618","28,141812814164684","25,034900432339708","13,441331555349388"
354,"34,04106457436212","28,2012853098071","25,191144058319654","13,566506057511086"
355,"33,701447401454665","28,258889629616483","25,347201191126125","13,692461777802684"
356,"33,36313557265592","28,314612562119063","25,503054081466658","13,819197783758314"
357,"33,02616058222552","28,368441426928268","25,658684936680515","13,946713054165647"
358,"32,690553513295804","28,420364081588705","25,814075926266394","14,07500647884905"
359,"32,35634502598337","28,470368928085254","25,969209187450947","14,20407685848038"
360,"32,023565345776994","28,518444919010776","26,124066830794543","14,333922904417635"
361,"31,692244252211292","28,56458156338637","26,278630945830677","14,464543238571608"
362,"31,362411067835456","28,608768932128342","26,432883606735388","14,59593639330076"
363,"31,03409464748588","28,650997663156634","26,586806878022994","14,728100811334437"
364,"30,70732336787123","28,691258966139717","26,740382820264447","14,861034845724552"
365,"30,382125117478147","28,7295446268714","26,893593495824522","14,994736759825875"
366,"30,05852728680538","28,765847011275454","27,046420974614115","15,129204727304998"
367,"29,73655675893375","28,800159069034326","27,1988473398538","15,264436832178069"
368,"29,416239900439045","28,83247433683869","27,350854693844873","15,400431068877337"
369,"29,097602552654415","28,86278694125493","27,502425163744036","15,537185342346561"
370,"28,780670023288575","28,89109160120822","27,653540907337867","15,67469746816528"
371,"28,465467078405563","28,91738363007915","27,80418411881326","15,81296517270197"
372,"28,1520179347715","28,941658937412424","27,954337034519984","15,951986093296037"
373,"27,8403462525733","28,9639140302365","28,103981938721507","16,091757778468637"
374,"27,530475128513867","28,984146013993566","28,253101169330264","16,232277688162245"
375,"27,222427089287873","29,002352593079625","28,40167712362355","16,373543194008896"
376,"26,916224085441797","29,018532070994905","28,549692263936226","16,515551579627015"
